Dataset ID,Question,Category,Sub-Category,Difficulty,Source,Company
1,What is the difference between a list and a tuple in Python?,Technical,Python,Easy,GeeksforGeeks,Google
2,Explain the concept of inheritance in object-oriented programming.,Technical,OOP,Medium,GeeksforGeeks,Microsoft
3,What is the time complexity of quicksort in the worst case?,Technical,DSA,Medium,GeeksforGeeks,Amazon
4,Explain the difference between HTTP and HTTPS.,Technical,Networking,Easy,GeeksforGeeks,Facebook
5,What is a RESTful API?,Technical,Web Development,Easy,GeeksforGeeks,Twitter
6,Explain the concept of database normalization.,Technical,Database,Medium,GeeksforGeeks,Oracle
7,What is the difference between inner join and outer join in SQL?,Technical,SQL,Medium,GeeksforGeeks,IBM
8,Explain the concept of virtual memory.,Technical,Operating Systems,Medium,GeeksforGeeks,Apple
9,What is the difference between process and thread?,Technical,Operating Systems,Medium,GeeksforGeeks,Microsoft
10,Explain the concept of recursion.,Technical,DSA,Easy,GeeksforGeeks,Google
11,What is the difference between stack and queue data structures?,Technical,DSA,Easy,GeeksforGeeks,Amazon
12,Explain the concept of Big O notation.,Technical,DSA,Medium,GeeksforGeeks,Facebook
13,What is the difference between GET and POST methods in HTTP?,Technical,Web Development,Easy,GeeksforGeeks,Twitter
14,Explain the concept of dependency injection.,Technical,Software Design,Medium,GeeksforGeeks,Google
15,What is the difference between authentication and authorization?,Technical,Security,Easy,GeeksforGeeks,Microsoft
16,Tell me about a time when you faced a significant challenge at work.,Behavioral,Leadership,Medium,GeeksforGeeks,Amazon
17,Describe a situation where you had to work under pressure to meet a deadline.,Behavioral,Time Management,Medium,GeeksforGeeks,Google
18,Tell me about a time when you had to resolve a conflict within your team.,Behavioral,Teamwork,Medium,GeeksforGeeks,Microsoft
19,Describe a situation where you had to learn a new skill quickly.,Behavioral,Adaptability,Medium,GeeksforGeeks,Facebook
20,Tell me about a time when you had to make a difficult decision.,Behavioral,Decision Making,Medium,GeeksforGeeks,Apple
21,Describe a situation where you had to deal with a difficult customer or stakeholder.,Behavioral,Communication,Medium,GeeksforGeeks,Amazon
22,Tell me about a time when you had to lead a team through a challenging project.,Behavioral,Leadership,Hard,GeeksforGeeks,Google
23,Describe a situation where you had to prioritize multiple tasks with competing deadlines.,Behavioral,Time Management,Medium,GeeksforGeeks,Microsoft
24,Tell me about a time when you had to give constructive feedback to a colleague.,Behavioral,Communication,Medium,GeeksforGeeks,Facebook
25,Describe a situation where you had to adapt to a significant change at work.,Behavioral,Adaptability,Medium,GeeksforGeeks,Twitter
26,What is React and how does it differ from other JavaScript frameworks?,Technical,React,Medium,GeeksforGeeks,Facebook
27,Explain the concept of state and props in React.,Technical,React,Medium,GeeksforGeeks,Facebook
28,What are React hooks and how do they work?,Technical,React,Medium,GeeksforGeeks,Facebook
29,Explain the concept of virtual DOM in React.,Technical,React,Medium,GeeksforGeeks,Facebook
30,What is Redux and how does it work with React?,Technical,React,Hard,GeeksforGeeks,Facebook
31,What is Node.js and how does it work?,Technical,Node.js,Medium,GeeksforGeeks,Netflix
32,Explain the event loop in Node.js.,Technical,Node.js,Hard,GeeksforGeeks,Netflix
33,What is Express.js and how does it relate to Node.js?,Technical,Node.js,Medium,GeeksforGeeks,Netflix
34,Explain the concept of middleware in Express.js.,Technical,Node.js,Medium,GeeksforGeeks,Netflix
35,What is the difference between synchronous and asynchronous programming in Node.js?,Technical,Node.js,Medium,GeeksforGeeks,Netflix
36,What is machine learning and how does it differ from traditional programming?,Technical,Machine Learning,Medium,GeeksforGeeks,Google
37,Explain the difference between supervised and unsupervised learning.,Technical,Machine Learning,Medium,GeeksforGeeks,Google
38,What is overfitting in machine learning and how can it be prevented?,Technical,Machine Learning,Medium,GeeksforGeeks,Google
39,Explain the concept of gradient descent in machine learning.,Technical,Machine Learning,Hard,GeeksforGeeks,Google
40,What is the difference between classification and regression in machine learning?,Technical,Machine Learning,Medium,GeeksforGeeks,Google
41,What is Docker and how does it work?,Technical,DevOps,Medium,GeeksforGeeks,Amazon
42,Explain the concept of containerization and how it differs from virtualization.,Technical,DevOps,Medium,GeeksforGeeks,Amazon
43,What is Kubernetes and how does it relate to Docker?,Technical,DevOps,Hard,GeeksforGeeks,Amazon
